id,Title,Content,SKU,"Product Type","Parent Product ID","Product Size","Product Attributes",INGREDIENTS
1439,"Mineral Foundation - Cinnamon","<SPAN class=tab_content>

<P><SPAN class=tab_content>Bellapierre 5-in-1 mineral foundation contains just four natural ingredients; four minerals which are kind and gentle, protective and nurturing for the skin - Mica, Zinc Oxides, Iron Oxides, Titanium Dioxide.<BR>These mineral ingredients give our 5-in-1 mineral foundation the same properties as concealer, SPF, finishing powder and setting powder (veil)! So you no longer need a different product for each job; this does it all.<BR><BR>FIVE IN ONE FOUNDATION:<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Concealer<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Foundation<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>SPF<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Finishing Powder<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Setting Powder (Veil)<BR><BR>Sifter jar - 9g.<BR></SPAN><SPAN class=tab_content></SPAN><BR><BR><SPAN class=tab_content><SPAN class=tab_content><SPAN style=""COLOR: rgb(212,180,183)""><FONT size=+1>Shade Matcher</FONT></SPAN></SPAN><BR>

<TABLE class=shade-matcher>

<TBODY>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF1.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF2.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF3.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF4.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF5.jpg""></TD></TR>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF6.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF7.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF8.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF9.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF10.jpg""></TD></TR></TBODY></TABLE></P></SPAN></SPAN>",BPMF4,simple,0,,a:0:{},
1440,"BB cream Deep","<div class=""header-language-background""><div class=""header-language-container""><div class=""store-language-container""><div class=""form-language"">Details</div></div></div></div><div class=""main-container col1-layout""><div class=""main""><div class=""col-main""><div class=""product-collateral toggle-content tabs""><dl class=""collateral-tabs"" id=""collateral-tabs""><dd class=""tab-container current""><div class=""tab-content""><div class=""std"">        Bellapierre Derma Renew BB (Beauty Balm) Cream is a combination of advanced skincare and full skin coverage. This anti-aging formula acts as four products in one:<br> · Concealer<br> · Foundation<br> · SPF 15<br> · Moisturizer<br><br> Oil free, mineral-based formula will not clog pores and naturally covers imperfections. Available in 5 shades to match all skin tones.<br> 40ML/1.5 FL OZ&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</div></div></dd></dl></div><div class=""product-view""><dl class=""collateral-tabs""><table class=""data-table"" id=""product-attribute-specs-table""><colgroup><col width=""25%""><col><tbody><tr class=""first last odd""><th class=""label""></th><td class=""data last""></td></tr></tbody></table></dl></div><p class=""tab""><span>Ingredients</span></p><dl class=""collateral-tabs""><dd class=""tab-container""><div class=""tab-content"">SPF 15 Active Ingredients: Titanium Dioxide 5.0%, Ethylhexyl Methoxycinnamate 4.0%. Ingredients: Aqua (Water), Isononyl Isononanoate, Caprylic/Capric Triglyceride, Titanium Dioxide (CI77891), Glyceryl Stearate, PEG-100 Stearate, Glycerin, Ethylhexyl Methoxycinnamate, Silica, Carnauba Wax, Potassium Cetyl Phosphate, Aloe Barbadensis (Aloe Vera) Flower Extract, Simmondsia Chinesis (Jojoba) Seed Oil, Phenoxyethanol, Ethylhexyl Glycerin, Tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A). May contain: Iron Oxides +/-[CI 77491, 77492, 77499].</div></dd><dt class=""tab""><span>Application</span></dt><dd class=""tab-container""><div class=""tab-content"">Squeeze a small amount onto fingertips and smooth evenly over face. Blend into neck. Allow to fully absorb.</div></dd></dl></div></div></div>",BPBBC005,simple,0,,a:0:{},
1441,"Compact Foundation - Ivory","<p>Compact Mineral Foundation is a pressed alternative to Bellapierre’s classic Mineral Foundation. Ideal for on-the-go application, this 5-in-1 product acts as a concealer, foundation, SPF 15, finishing powder, and setting powder. Achieve medium to full coverage with pure mineral pigments ground to the smoothest texture and bound with soothing jojoba oil. This product is non-comedogenic, talc free, and paraben free.<br>Compact with applicator puff – 10g/0.35oz </p><p>Ingredients: Mica, Zinc Stearate, Zinc Oxide, Simmondsia Chinensis (Jojoba) Seed Oil, Lauroyl Lysine, Lonicera Caprifolium(Honeysuckle) Flower Extract May contain: Titanium Dioxide, Iron Oxides, ChromiumOxide Green. </p><p>Using a Concealer brush lightly swirl into compact and then apply directly under the eye area and onto any imperfections, tap gently to ensure full coverage, and then using a large powder Brush gently swirl into the compact and apply onto entire face until desired coverage is achieved. Use provided puff for minor touch ups.</p>",BPPMF2,simple,0,,a:0:{},
1442,"BB cream Fair","<div class=""wrapper""><noscript>        &amp;lt;div class=""global-site-notice noscript""&amp;gt;            &amp;lt;div class=""notice-inner""&amp;gt;                &amp;lt;p&amp;gt;                    &amp;lt;strong&amp;gt;JavaScript seems to be disabled in your browser.&amp;lt;/strong&amp;gt;&amp;lt;br /&amp;gt;                    You must have JavaScript enabled in your browser to utilize the functionality of this website.                &amp;lt;/p&amp;gt;            &amp;lt;/div&amp;gt;        &amp;lt;/div&amp;gt;     </noscript>     <div class=""page""><div class=""header-language-background""><div class=""header-language-container""><div class=""store-language-container""><div class=""form-language"">Details</div></div></div></div><div class=""main-container col1-layout""><div class=""main""><div class=""col-main""><div class=""product-collateral toggle-content tabs""><dl class=""collateral-tabs"" id=""collateral-tabs""><dd class=""tab-container current""><div class=""tab-content""><div class=""std"">        Bellapierre Derma Renew BB (Beauty Balm) Cream is a combination of advanced skincare and full skin coverage. This anti-aging formula acts as four products in one:<br> · Concealer<br> · Foundation<br> · SPF 15<br> · Moisturizer<br><br> Oil free, mineral-based formula will not clog pores and naturally covers imperfections. Available in 5 shades to match all skin tones.<br> 40ML/1.5 FL OZ&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</div></div></dd></dl></div><div class=""product-view""><dl class=""collateral-tabs""><table class=""data-table"" id=""product-attribute-specs-table""><colgroup><col width=""25%""><col><tbody><tr class=""first last odd""><th class=""label""></th><td class=""data last""></td></tr></tbody></table>

 </dl></div><p class=""tab""><span>Ingredients</span></p><dl class=""collateral-tabs""><dd class=""tab-container""><div class=""tab-content"">SPF 15 Active Ingredients: Titanium Dioxide 5.0%, Ethylhexyl Methoxycinnamate 4.0%. Ingredients: Aqua (Water), Isononyl Isononanoate, Caprylic/Capric Triglyceride, Titanium Dioxide (CI77891), Glyceryl Stearate, PEG-100 Stearate, Glycerin, Ethylhexyl Methoxycinnamate, Silica, Carnauba Wax, Potassium Cetyl Phosphate, Aloe Barbadensis (Aloe Vera) Flower Extract, Simmondsia Chinesis (Jojoba) Seed Oil, Phenoxyethanol, Ethylhexyl Glycerin, Tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A). May contain: Iron Oxides +/-[CI 77491, 77492, 77499].</div></dd><dt class=""tab""><span>Application</span></dt><dd class=""tab-container""><div class=""tab-content"">Squeeze a small amount onto fingertips and smooth evenly over face. Blend into neck. Allow to fully absorb.</div></dd><dt class=""tab last""><br></dt></dl></div></div></div></div></div>",BPBBC001,simple,0,,a:0:{},
1443,"Mineral Foundation - Maple","<P><SPAN class=tab_content>Bellapierre 5-in-1 mineral foundation contains just four natural ingredients; four minerals which are kind and gentle, protective and nurturing for the skin - Mica, Zinc Oxides, Iron Oxides, Titanium Dioxide.<BR>These mineral ingredients give our 5-in-1 mineral foundation the same properties as concealer, SPF, finishing powder and setting powder (veil)! So you no longer need a different product for each job; this does it all.<BR><BR>FIVE IN ONE FOUNDATION:<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Concealer<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Foundation<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>SPF<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Finishing Powder<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Setting Powder (Veil)<BR><BR>Sifter jar - 9g.<BR></SPAN><SPAN class=tab_content></SPAN><BR><BR><SPAN class=tab_content><SPAN class=tab_content><SPAN style=""COLOR: rgb(212,180,183)""><FONT size=+1>Shade Matcher</FONT></SPAN></SPAN><BR>

<TABLE class=shade-matcher>

<TBODY>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF1.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF2.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF3.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF4.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF5.jpg""></TD></TR>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF6.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF7.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF8.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF9.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF10.jpg""></TD></TR></TBODY></TABLE></P></SPAN>",BPMF6,simple,0,,a:0:{},
1444,"Compact Foundation - Ultra","<p>Compact Mineral Foundation is a pressed alternative to Bellapierre’s classic Mineral Foundation. Ideal for on-the-go application, this 5-in-1 product acts as a concealer, foundation, SPF 15, finishing powder, and setting powder. Achieve medium to full coverage with pure mineral pigments ground to the smoothest texture and bound with soothing jojoba oil. This product is non-comedogenic, talc free, and paraben free.<br>Compact with applicator puff – 10g/0.35oz </p><p>Ingredients: Mica, Zinc Stearate, Zinc Oxide, Simmondsia Chinensis (Jojoba) Seed Oil, Lauroyl Lysine, Lonicera Caprifolium(Honeysuckle) Flower Extract May contain: Titanium Dioxide, Iron Oxides, ChromiumOxide Green. </p><p>Using a Concealer brush lightly swirl into compact and then apply directly under the eye area and onto any imperfections, tap gently to ensure full coverage, and then using a large powder Brush gently swirl into the compact and apply onto entire face until desired coverage is achieved. Use provided puff for minor touch ups.</p>",BPPMF1,simple,0,,a:0:{},
1445,"Compact Foundation - Cinnamon","<p>Compact Mineral Foundation is a pressed alternative to Bellapierre’s classic Mineral Foundation. Ideal for on-the-go application, this 5-in-1 product acts as a concealer, foundation, SPF 15, finishing powder, and setting powder. Achieve medium to full coverage with pure mineral pigments ground to the smoothest texture and bound with soothing jojoba oil. This product is non-comedogenic, talc free, and paraben free.<br>Compact with applicator puff – 10g/0.35oz </p><p>Ingredients: Mica, Zinc Stearate, Zinc Oxide, Simmondsia Chinensis (Jojoba) Seed Oil, Lauroyl Lysine, Lonicera Caprifolium(Honeysuckle) Flower Extract May contain: Titanium Dioxide, Iron Oxides, ChromiumOxide Green. </p><p>Using a Concealer brush lightly swirl into compact and then apply directly under the eye area and onto any imperfections, tap gently to ensure full coverage, and then using a large powder Brush gently swirl into the compact and apply onto entire face until desired coverage is achieved. Use provided puff for minor touch ups.</p>",BPPMF4,simple,0,,a:0:{},
1446,"Compact Foundation - Nutmeg","<p>Compact Mineral Foundation is a pressed alternative to Bellapierre’s classic Mineral Foundation. Ideal for on-the-go application, this 5-in-1 product acts as a concealer, foundation, SPF 15, finishing powder, and setting powder. Achieve medium to full coverage with pure mineral pigments ground to the smoothest texture and bound with soothing jojoba oil. This product is non-comedogenic, talc free, and paraben free.<br>Compact with applicator puff – 10g/0.35oz </p><p>Ingredients: Mica, Zinc Stearate, Zinc Oxide, Simmondsia Chinensis (Jojoba) Seed Oil, Lauroyl Lysine, Lonicera Caprifolium(Honeysuckle) Flower Extract May contain: Titanium Dioxide, Iron Oxides, ChromiumOxide Green. </p><p>Using a Concealer brush lightly swirl into compact and then apply directly under the eye area and onto any imperfections, tap gently to ensure full coverage, and then using a large powder Brush gently swirl into the compact and apply onto entire face until desired coverage is achieved. Use provided puff for minor touch ups.</p>",BPPMF5,simple,0,,a:0:{},
1447,"BB cream Dark","<div class=""header-language-background""><div class=""header-language-container""><div class=""store-language-container""><div class=""form-language"">Details</div></div></div></div><div class=""main-container col1-layout""><div class=""main""><div class=""col-main""><div class=""product-collateral toggle-content tabs""><dl class=""collateral-tabs"" id=""collateral-tabs""><dd class=""tab-container current""><div class=""tab-content""><div class=""std"">        Bellapierre Derma Renew BB (Beauty Balm) Cream is a combination of advanced skincare and full skin coverage. This anti-aging formula acts as four products in one:<br> · Concealer<br> · Foundation<br> · SPF 15<br> · Moisturizer<br><br> Oil free, mineral-based formula will not clog pores and naturally covers imperfections. Available in 5 shades to match all skin tones.<br> 40ML/1.5 FL OZ&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</div></div></dd></dl></div><div class=""product-view""><dl class=""collateral-tabs""><table class=""data-table"" id=""product-attribute-specs-table""><colgroup><col width=""25%""><col><tbody><tr class=""first last odd""><th class=""label""></th><td class=""data last""></td></tr></tbody></table></dl></div><p class=""tab""><span>Ingredients</span></p><dl class=""collateral-tabs""><dd class=""tab-container""><div class=""tab-content"">SPF 15 Active Ingredients: Titanium Dioxide 5.0%, Ethylhexyl Methoxycinnamate 4.0%. Ingredients: Aqua (Water), Isononyl Isononanoate, Caprylic/Capric Triglyceride, Titanium Dioxide (CI77891), Glyceryl Stearate, PEG-100 Stearate, Glycerin, Ethylhexyl Methoxycinnamate, Silica, Carnauba Wax, Potassium Cetyl Phosphate, Aloe Barbadensis (Aloe Vera) Flower Extract, Simmondsia Chinesis (Jojoba) Seed Oil, Phenoxyethanol, Ethylhexyl Glycerin, Tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A). May contain: Iron Oxides +/-[CI 77491, 77492, 77499].</div></dd><dt class=""tab""><span>Application</span></dt><dd class=""tab-container""><div class=""tab-content"">Squeeze a small amount onto fingertips and smooth evenly over face. Blend into neck. Allow to fully absorb.</div></dd></dl></div></div></div>",BPBBC004,simple,0,,a:0:{},
1448,"BB cream Light","<div class=""header-language-background""><div class=""header-language-container""><div class=""store-language-container""><div class=""form-language"">Details</div></div></div></div><div class=""main-container col1-layout""><div class=""main""><div class=""col-main""><div class=""product-collateral toggle-content tabs""><dl class=""collateral-tabs"" id=""collateral-tabs""><dd class=""tab-container current""><div class=""tab-content""><div class=""std"">        Bellapierre Derma Renew BB (Beauty Balm) Cream is a combination of advanced skincare and full skin coverage. This anti-aging formula acts as four products in one:<br> · Concealer<br> · Foundation<br> · SPF 15<br> · Moisturizer<br><br> Oil free, mineral-based formula will not clog pores and naturally covers imperfections. Available in 5 shades to match all skin tones.<br> 40ML/1.5 FL OZ&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</div></div></dd></dl></div><div class=""product-view""><dl class=""collateral-tabs""><table class=""data-table"" id=""product-attribute-specs-table""><colgroup><col width=""25%""><col><tbody><tr class=""first last odd""><th class=""label""></th><td class=""data last""></td></tr></tbody></table></dl></div><p class=""tab""><span>Ingredients</span></p><dl class=""collateral-tabs""><dd class=""tab-container""><div class=""tab-content"">SPF 15 Active Ingredients: Titanium Dioxide 5.0%, Ethylhexyl Methoxycinnamate 4.0%. Ingredients: Aqua (Water), Isononyl Isononanoate, Caprylic/Capric Triglyceride, Titanium Dioxide (CI77891), Glyceryl Stearate, PEG-100 Stearate, Glycerin, Ethylhexyl Methoxycinnamate, Silica, Carnauba Wax, Potassium Cetyl Phosphate, Aloe Barbadensis (Aloe Vera) Flower Extract, Simmondsia Chinesis (Jojoba) Seed Oil, Phenoxyethanol, Ethylhexyl Glycerin, Tocopheryl Acetate (Vitamin E), Retinyl Palmitate (Vitamin A). May contain: Iron Oxides +/-[CI 77491, 77492, 77499].</div></dd><dt class=""tab""><span>Application</span></dt><dd class=""tab-container""><div class=""tab-content"">Squeeze a small amount onto fingertips and smooth evenly over face. Blend into neck. Allow to fully absorb.</div></dd></dl></div></div></div>",BPBBC002,simple,0,,a:0:{},
1449,"Mineral Foundation - Ivory","<SPAN class=tab_content>

<P><SPAN class=tab_content>Bellapierre 5-in-1 mineral foundation contains just four natural ingredients; four minerals which are kind and gentle, protective and nurturing for the skin - Mica, Zinc Oxides, Iron Oxides, Titanium Dioxide.<BR>These mineral ingredients give our 5-in-1 mineral foundation the same properties as concealer, SPF, finishing powder and setting powder (veil)! So you no longer need a different product for each job; this does it all.<BR><BR>FIVE IN ONE FOUNDATION:<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Concealer<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Foundation<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>SPF<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Finishing Powder<BR><SPAN style=""COLOR: rgb(212,180,183)"">• </SPAN>Setting Powder (Veil)<BR><BR>Sifter jar - 9g.<BR></SPAN><SPAN class=tab_content></SPAN><BR><BR><SPAN class=tab_content><SPAN class=tab_content><SPAN style=""COLOR: rgb(212,180,183)""><FONT size=+1>Shade Matcher</FONT></SPAN></SPAN><BR>

<TABLE class=shade-matcher>

<TBODY>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF1.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF2.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF3.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF4.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF5.jpg""></TD></TR>

<TR>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF6.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF7.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF8.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF9.jpg""></TD>

<TD><IMG border=0 alt="""" src=""http://www.bellapierre.eu/shop/skin/frontend/default/modern/images/bellapierre/shade-matcher/MF/MF10.jpg""></TD></TR></TBODY></TABLE></P></SPAN></SPAN>",BPMF2,simple,0,,a:0:{},
1450,"Scalp Relief Shampoo","<p>Hair Care<br><br>Up to 50% of the population suffers from dandruff, making it a very common condition that affects the hair and scalp. Causes of dandruff vary from person to person, ranging from sebum overproduction, fungal (malassezia) proliferation, nutrition deficiencies, seasonal changes, even stress. Symptoms include scalp dryness, itching, flaking, redness and irritation. <br>Unlike other hair and scalp treatment products that only address one or two dandruff causing factors, derma e® Scalp Relief formulas work in 4 ways to significantly improve the condition of the scalp and hair, from root to tip. Doctor-developed, clinically tested and consumer tested, both treatment formulas use our proprietary Therapeutic Psorzema® Herbal Blend plus healthful vitamins and botanicals to effectively address dandruff symptoms, naturally.&nbsp;</p><p>100% vegan, crueltyfree, SLS-free and glutenfree&nbsp;</p>",DRM8730,simple,0,,a:0:{},
1451,"Coconut Soft Curls Hair Cream","Coconut Soft Curls Hair Cream<!--<div class=""pr_snippet_product""></div> --><!--
THIS FILE IS NOT USED AND IS HERE AS A STARTING POINT FOR CUSTOMIZATION ONLY.
See http://api.drupal.org/api/function/theme_field/7 for details.
After copying this file to your theme's folder and customizing it, remove this
HTML comment.
-->

<DIV class=field-items>

<DIV class=""field-item even field field-name-body field-type-text-with-summary field-label-hidden clearfix clearfix"" property=""content:encoded"">

<P>• Softens and helps define curls<BR>• Adds a silicone-free shine and bounce<BR>• Strengthens hair <BR/><BR/>NEW! Add a soft, weightless bounce to curls with this feather-light natural leave-in conditioner. Just a small amount of this silicone-free cream softens and moisturizes curly hair, making it silky smooth to the touch. Infused with 5 desert derived botanicals and coconut oil to strengthen hair and repair damage from environmental stressors and styling. </P>

<P style=""MARGIN: 0px"">6.4 fl oz / 190 ml</P></DIV></DIV>",DES3787NDE,simple,0,,a:0:{},
1452,"Volume & Shine Restoring Shampoo 236 ml","<p>Purifying Lemongrass Oil helps to stimulate healthy hair follicles and balance oil without stripping your hair. Vitamin E and Amino Acids provide essential nutrients to help boost volume and add luster for extraordinatily gorgeous, healthy-looking hair. Safe for color-treated hair. Sulfate-free and silicone-free.</p><p>Ingredients:</p><p>Water, Decyl Glucoside (Plant Derived), Lauryl Glucoside (Plant Derived), Sodium Cocoyl Glutamate (Coconut Derived), Disodium Cocoyl Glutamate (Coconut Derived), Glycerin (Vegetable Derived), Quillaja Saponaria Molina (Soap Tree) Bark Extract, Hydrolyzed Quinoa, Sodium PCA, Sodium Lactate, Leuconostoc/Radish Root Ferment Filtrate, Arginine, Aspartic Acid, PCA, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Cymbopogon Schoenanthus (West Indian Lemongrass) Oil, Cymbopogon Martini (Palmarosa) Oil, Natural Fragrance Oils.</p><p>How to use:</p><p><span mce-data-marked=""1""><span mce-data-marked=""1"">Massage through wet hair and scalp creating a rich lather. Rinse thoroughly. For best results, follow with DERMA E's Volume Conditioner.&nbsp;</span></span></p>",DRM6310,simple,0,,a:0:{},
1453,"Coconut Shine & Refine Hair Lotion","Coconut Shine &amp; Refine Hair Lotion<!--<div class=""pr_snippet_product""></div> --><!--
THIS FILE IS NOT USED AND IS HERE AS A STARTING POINT FOR CUSTOMIZATION ONLY.
See http://api.drupal.org/api/function/theme_field/7 for details.
After copying this file to your theme's folder and customizing it, remove this
HTML comment.
-->

<DIV class=field-items>

<DIV class=""field-item even field field-name-body field-type-text-with-summary field-label-hidden clearfix clearfix"" property=""content:encoded"">

<P>• Infuses hair with moisture and restores healthy shine<BR>• Strengthens hair<BR>• Helps smooth damaged hair and reduce frizz without weighing hair down<BR/><BR/>NEW! Bring out hair’s natural beauty and texture as your nourish it. Avena Strigosa Seed Extract (black oat), blended with Coconut Oil and Extract, moisturizes and helps repair damaged hair. Yucca Cactus and Aloe add volume and shine. Oleic acid-rich safflower oil and Panthenol quickly penetrate and smooth, without weighing hair down. </P>

<P style=""MARGIN: 0px"">6.4 fl oz / 190 ml</P></DIV></DIV>",DES3788NDE,simple,0,,a:0:{},
1454,"Hydrate & Smooth Nourishing Shampoo 236 ml","<p>This nourishing shampoo uses argan oil and apricot seed oil to deliver a concentrated boost of intense antioxidant-rich moisture to nourish, hydrate, and add shine while promoting smooth, silky hair. It locks in essential moisture to tame frizz, while stimulating your hair follicles and balancing oil to revive your hair from root to tip. Safe for color treated hair. Sulfate-free and silicone-free</p><p>Ingredients:</p><p>Water, Decyl Glucoside (Plant Derived), Lauryl Glucoside (Plant Derived), Sodium Cocoyl Glutamate (Coconut Derived), Disodium Cocoyl Glutamate (Coconut Derived), Glycerin (Vegetable Derived), Sodium Lauroyl Lactylate, Sorbitan Sesquicaprylate, Quillaja Saponaria Molina (Soap Tree) Bark Extract, Hydrolyzed Quinoa, Sodium PCA, Sodium Lactate, Leuconostoc/Radish Root Ferment Filtrate, Arginine, Aspartic Acid, PCA, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Panthenol (Provitamin B5), Argania Spinosa (Argan) Kernel Oil, Prunus Armeniaca (Apricot) Kernel Oil, Xanthan Gum, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Natural Fragrance Oils.</p><p>How to use:</p><p><span mce-data-marked=""1""><span mce-data-marked=""1"">Massage through wet hair and scalp creating a rich lather. Rinse thoroughly. For best results, follow with DERMA E's Nourishing Conditioner.&nbsp;</span></span></p>",DRM6300,simple,0,,a:0:{},
